"SITE","DATE","BIWEEK","SAMPLER","HARBOR","SEX","LENGTH","CLASSN","OTOLITH","LOGBOOK_AREA","Stat_Area_label","GF_area","AGE","AGE2","AGECONF","OTOLITH_WT","SPECIES","YEAR","MONTH","DAY"
"SITKA",2016-05-13,10,8,1,"M",370,"Private",1,113311,"113-31","CSEO",9,NA,3,0.21,142,2016,5,13
"SITKA",2016-05-13,10,8,1,"M",410,"Private",2,113311,"113-31","CSEO",19,NA,3,0.39,142,2016,5,13
"SITKA",2016-05-13,10,8,1,"M",425,"Private",3,113311,"113-31","CSEO",19,NA,3,0.29,142,2016,5,13
"SITKA",2016-05-13,10,8,1,"M",395,"Private",4,113311,"113-31","CSEO",11,NA,3,0.24,142,2016,5,13
"SITKA",2016-05-13,10,8,1,"F",410,"Private",5,113311,"113-31","CSEO",12,9,2,0.23,142,2016,5,13
"SITKA",2016-05-13,10,8,1,"F",425,"Private",6,113311,"113-31","CSEO",10,NA,3,0.24,142,2016,5,13
"SITKA",2016-05-19,10,11,6,"M",415,"Charter",7,113416,"113-41","CSEO",9,NA,3,0.25,142,2016,5,19
"SITKA",2016-05-19,10,11,6,"F",425,"Charter",8,113416,"113-41","CSEO",12,10,2,0.27,142,2016,5,19
"SITKA",2016-05-19,10,11,6,"F",500,"Charter",9,113416,"113-41","CSEO",10,NA,3,0.36,142,2016,5,19
"SITKA",2016-05-19,10,11,6,"F",400,"Charter",10,113416,"113-41","CSEO",18,NA,3,0.21,154,2016,5,19
"SITKA",2016-05-19,10,11,6,"M",410,"Charter",11,113416,"113-41","CSEO",9,NA,2,0.28,142,2016,5,19
"SITKA",2016-05-19,10,11,6,"",NA,"Charter",12,113416,"113-41","CSEO",15,NA,3,0.27,142,2016,5,19
"SITKA",2016-05-22,10,10,9,"F",475,"Charter",13,113417,"113-41","CSEO",14,NA,3,0.34,142,2016,5,22
"SITKA",2016-05-25,11,9,5,"F",480,"Charter",14,113450,"113-45","CSEO",21,NA,2,0.35,142,2016,5,25
"SITKA",2016-05-25,11,9,5,"M",470,"Charter",15,113450,"113-45","CSEO",17,NA,2,0.33,142,2016,5,25
"SITKA",2016-05-25,11,9,5,"F",380,"Charter",16,113450,"113-45","CSEO",6,NA,3,0.2,142,2016,5,25
"SITKA",2016-05-25,11,9,5,"M",460,"Charter",17,113450,"113-45","CSEO",20,NA,3,0.37,142,2016,5,25
"SITKA",2016-05-25,11,9,5,"M",470,"Charter",18,113450,"113-45","CSEO",18,NA,3,0.33,142,2016,5,25
"SITKA",2016-05-25,11,9,5,"M",445,"Charter",19,113450,"113-45","CSEO",12,11,3,0.27,142,2016,5,25
"SITKA",2016-05-25,11,9,5,"F",415,"Charter",20,113450,"113-45","CSEO",10,NA,3,0.27,142,2016,5,25
"SITKA",2016-05-25,11,9,5,"F",400,"Charter",21,113450,"113-45","CSEO",11,12,3,0.22,142,2016,5,25
"SITKA",2016-05-25,11,9,5,"F",475,"Charter",22,113450,"113-45","CSEO",10,10,3,0.31,142,2016,5,25
"SITKA",2016-05-25,11,9,5,"M",420,"Charter",23,113450,"113-45","CSEO",10,10,3,0.27,142,2016,5,25
"SITKA",2016-05-26,11,12,8,"M",415,"Charter",24,113417,"113-41","CSEO",15,NA,3,0.29,142,2016,5,26
"SITKA",2016-05-28,11,9,8,"",545,"Charter",25,113311,"113-31","CSEO",19,NA,3,0.48,142,2016,5,28
"SITKA",2016-05-28,11,9,8,"",445,"Charter",26,113311,"113-31","CSEO",9,NA,3,0.27,142,2016,5,28
"SITKA",2016-05-28,11,9,8,"",460,"Charter",27,113417,"113-41","CSEO",9,NA,3,0.25,142,2016,5,28
"SITKA",2016-05-28,11,9,8,"F",350,"Charter",28,113417,"113-41","CSEO",9,NA,3,0.21,142,2016,5,28
"SITKA",2016-05-28,11,9,8,"F",415,"Charter",29,113417,"113-41","CSEO",10,NA,3,0.24,142,2016,5,28
"SITKA",2016-05-28,11,9,8,"F",450,"Charter",30,113417,"113-41","CSEO",10,NA,3,0.27,142,2016,5,28
"SITKA",2016-05-28,11,9,8,"F",455,"Charter",31,113417,"113-41","CSEO",9,NA,2,0.32,142,2016,5,28
"SITKA",2016-05-28,11,9,8,"M",445,"Charter",32,113417,"113-41","CSEO",10,NA,3,0.29,142,2016,5,28
"SITKA",2016-05-28,11,9,8,"M",395,"Charter",33,113417,"113-41","CSEO",9,NA,3,0.26,142,2016,5,28
"SITKA",2016-05-28,11,9,8,"M",440,"Charter",34,113417,"113-41","CSEO",9,NA,3,0.29,142,2016,5,28
"SITKA",2016-05-28,11,9,8,"M",465,"Charter",35,113417,"113-41","CSEO",9,NA,3,0.29,142,2016,5,28
"SITKA",2016-05-28,11,9,8,"M",430,"Charter",36,113417,"113-41","CSEO",10,NA,3,0.25,142,2016,5,28
"SITKA",2016-05-28,11,9,8,"M",430,"Charter",37,113417,"113-41","CSEO",10,NA,3,0.3,142,2016,5,28
"SITKA",2016-05-28,11,9,8,"M",410,"Charter",38,113417,"113-41","CSEO",10,NA,3,0.25,142,2016,5,28
"SITKA",2016-05-29,11,12,6,"M",415,"Charter",39,113417,"113-41","CSEO",11,NA,3,0.24,142,2016,5,29
"SITKA",2016-05-29,11,12,6,"M",425,"Charter",40,113417,"113-41","CSEO",15,NA,3,0.33,142,2016,5,29
"SITKA",2016-05-29,11,12,6,"M",420,"Charter",41,113417,"113-41","CSEO",10,NA,3,0.27,142,2016,5,29
"SITKA",2016-05-29,11,12,6,"M",465,"Charter",42,113417,"113-41","CSEO",19,19,3,0.34,142,2016,5,29
"SITKA",2016-05-29,11,12,6,"M",NA,"Charter",43,113417,"113-41","CSEO",19,19,3,0.33,142,2016,5,29
"SITKA",2016-05-29,11,12,6,"F",480,"Charter",44,113417,"113-41","CSEO",11,NA,3,0.29,142,2016,5,29
"SITKA",2016-05-29,11,12,6,"M",490,"Private",45,113417,"113-41","CSEO",12,NA,2,0.3,142,2016,5,29
"SITKA",2016-05-29,11,12,6,"M",455,"Private",46,113311,"113-31","CSEO",16,NA,3,0.35,142,2016,5,29
"SITKA",2016-05-29,11,12,6,"F",470,"Private",47,113311,"113-31","CSEO",13,NA,2,0.3,142,2016,5,29
"SITKA",2016-05-29,11,12,6,"M",455,"Private",48,113311,"113-31","CSEO",10,NA,2,0.31,142,2016,5,29
"SITKA",2016-05-30,11,11,8,"",455,"Charter",49,113630,"113-63","CSEO",11,NA,3,0.31,142,2016,5,30
"SITKA",2016-05-30,11,11,8,"",475,"Charter",50,113630,"113-63","CSEO",11,NA,3,0.29,142,2016,5,30
"SITKA",2016-05-30,11,11,8,"",445,"Charter",51,113630,"113-63","CSEO",9,NA,3,0.32,142,2016,5,30
"SITKA",2016-05-30,11,11,8,"",470,"Charter",52,113630,"113-63","CSEO",11,11,3,0.36,142,2016,5,30
"SITKA",2016-05-30,11,11,8,"",495,"Charter",53,113630,"113-63","CSEO",11,11,3,0.32,142,2016,5,30
"SITKA",2016-05-30,11,11,8,"",455,"Charter",54,113630,"113-63","CSEO",10,NA,3,0.27,142,2016,5,30
"SITKA",2016-05-30,11,11,8,"",370,"Charter",55,113417,"113-41","CSEO",9,NA,3,0.21,142,2016,5,30
"SITKA",2016-05-30,11,11,8,"",430,"Charter",56,113417,"113-41","CSEO",7,NA,3,0.21,142,2016,5,30
"SITKA",2016-05-30,11,11,8,"",405,"Charter",57,113417,"113-41","CSEO",10,NA,3,0.25,142,2016,5,30
"SITKA",2016-05-30,11,11,8,"",360,"Charter",58,113417,"113-41","CSEO",7,NA,3,0.19,142,2016,5,30
"SITKA",2016-05-30,11,11,8,"",400,"Charter",59,113417,"113-41","CSEO",11,NA,3,0.27,142,2016,5,30
"SITKA",2016-05-30,11,11,8,"",445,"Charter",60,113417,"113-41","CSEO",11,NA,3,0.26,142,2016,5,30
"SITKA",2016-05-30,11,11,8,"",415,"Charter",61,113417,"113-41","CSEO",10,NA,3,0.25,142,2016,5,30
"SITKA",2016-05-30,11,11,8,"",475,"Charter",62,113417,"113-41","CSEO",11,NA,3,0.33,142,2016,5,30
"SITKA",2016-05-30,11,11,8,"",400,"Charter",63,113417,"113-41","CSEO",9,NA,2,0.24,142,2016,5,30
"SITKA",2016-05-30,11,11,8,"",460,"Charter",64,113417,"113-41","CSEO",11,NA,3,0.27,142,2016,5,30
"SITKA",2016-05-30,11,11,8,"",435,"Charter",65,113417,"113-41","CSEO",10,10,3,0.29,142,2016,5,30
"SITKA",2016-06-02,11,9,7,"M",545,"Private",66,113416,"113-41","CSEO",12,NA,2,0.33,142,2016,6,2
"SITKA",2016-06-02,11,9,7,"F",NA,"Private",67,113416,"113-41","CSEO",9,NA,3,0.22,142,2016,6,2
"SITKA",2016-06-02,11,9,7,"M",430,"Private",68,113416,"113-41","CSEO",9,NA,3,0.32,142,2016,6,2
"SITKA",2016-06-02,11,9,7,"M",525,"Private",69,113416,"113-41","CSEO",11,11,3,0.34,142,2016,6,2
"SITKA",2016-06-02,11,9,7,"F",480,"Private",70,113416,"113-41","CSEO",13,NA,3,0.35,142,2016,6,2
"SITKA",2016-06-02,11,9,7,"F",480,"Private",71,113416,"113-41","CSEO",10,NA,3,0.32,142,2016,6,2
"SITKA",2016-06-02,11,9,7,"M",430,"Private",72,113416,"113-41","CSEO",10,10,3,0.26,142,2016,6,2
"SITKA",2016-06-02,11,9,7,"F",495,"Private",73,113416,"113-41","CSEO",13,NA,2,0.34,142,2016,6,2
"SITKA",2016-06-02,11,9,7,"M",390,"Private",74,113416,"113-41","CSEO",8,NA,3,0.23,142,2016,6,2
"SITKA",2016-06-02,11,9,7,"M",460,"Private",75,113416,"113-41","CSEO",18,18,3,0.35,142,2016,6,2
"SITKA",2016-06-04,11,9,5,"F",460,"Private",76,113450,"113-45","CSEO",10,11,3,0.25,142,2016,6,4
"SITKA",2016-06-04,11,9,5,"M",505,"Private",77,113450,"113-45","CSEO",29,NA,2,0.45,142,2016,6,4
"SITKA",2016-06-04,11,9,5,"M",450,"Private",78,113450,"113-45","CSEO",13,13,3,0.32,142,2016,6,4
"SITKA",2016-06-04,11,9,5,"M",420,"Charter",79,113417,"113-41","CSEO",20,NA,3,0.3,142,2016,6,4
"SITKA",2016-06-05,11,11,6,"M",470,"Charter",80,113417,"113-41","CSEO",21,21,2,0.37,142,2016,6,5
"SITKA",2016-06-05,11,11,6,"M",445,"Charter",81,113417,"113-41","CSEO",17,NA,3,0.37,142,2016,6,5
"SITKA",2016-06-05,11,11,6,"M",510,"Charter",82,113417,"113-41","CSEO",33,NA,3,0.49,142,2016,6,5
"SITKA",2016-06-05,11,11,6,"M",480,"Charter",83,113417,"113-41","CSEO",13,NA,2,0.38,142,2016,6,5
"SITKA",2016-06-05,11,11,6,"M",520,"Charter",84,113417,"113-41","CSEO",19,NA,2,0.46,142,2016,6,5
"SITKA",2016-06-05,11,11,6,"M",480,"Charter",85,113417,"113-41","CSEO",21,NA,2,0.38,142,2016,6,5
"SITKA",2016-06-05,11,11,6,"M",470,"Charter",86,113417,"113-41","CSEO",19,19,3,0.32,142,2016,6,5
"SITKA",2016-06-05,11,11,6,"M",490,"Charter",87,113417,"113-41","CSEO",19,NA,3,0.34,142,2016,6,5
"SITKA",2016-06-05,NA,NA,NA,"",NA,"",88,NA,"","",11,NA,2,0.31,142,2016,6,5
"SITKA",2016-06-05,11,11,6,"M",445,"Charter",89,113417,"113-41","CSEO",9,NA,3,0.26,142,2016,6,5
"SITKA",2016-06-05,11,11,6,"M",390,"Charter",90,113450,"113-45","CSEO",10,NA,3,0.24,142,2016,6,5
"SITKA",2016-06-05,11,11,6,"M",410,"Charter",91,113450,"113-45","CSEO",10,NA,3,0.27,142,2016,6,5
"SITKA",2016-06-05,11,11,6,"",480,"Charter",92,113450,"113-45","CSEO",19,NA,3,0.34,142,2016,6,5
"SITKA",2016-06-05,11,11,6,"F",430,"Charter",93,113450,"113-45","CSEO",11,NA,3,0.26,142,2016,6,5
"SITKA",2016-06-05,11,11,6,"",390,"Charter",94,113450,"113-45","CSEO",7,7,3,0.21,142,2016,6,5
"SITKA",2016-06-05,11,11,6,"",480,"Charter",95,113450,"113-45","CSEO",14,NA,3,0.32,142,2016,6,5
"SITKA",2016-06-05,11,11,6,"",430,"Charter",96,113450,"113-45","CSEO",17,17,3,0.33,142,2016,6,5
"SITKA",2016-06-05,11,11,6,"",430,"Charter",97,113450,"113-45","CSEO",11,11,3,0.26,142,2016,6,5
"SITKA",2016-06-05,11,11,6,"M",430,"Charter",98,113450,"113-45","CSEO",11,NA,3,0.28,142,2016,6,5
"SITKA",2016-06-05,11,11,6,"M",420,"Charter",99,113450,"113-45","CSEO",11,11,3,0.26,142,2016,6,5
"SITKA",2016-06-05,11,11,6,"M",370,"Charter",100,113450,"113-45","CSEO",11,NA,3,0.26,142,2016,6,5
"SITKA",2016-06-08,12,12,6,"",410,"Charter",101,113417,"113-41","CSEO",11,NA,3,0.27,142,2016,6,8
"SITKA",2016-06-08,12,12,6,"",410,"Charter",102,113450,"113-45","CSEO",13,NA,3,0.28,142,2016,6,8
"SITKA",2016-06-08,12,12,6,"",425,"Charter",103,113450,"113-45","CSEO",13,NA,3,0.29,142,2016,6,8
"SITKA",2016-06-08,12,12,6,"",430,"Charter",104,113450,"113-45","CSEO",17,NA,3,0.34,142,2016,6,8
"SITKA",2016-06-08,12,12,6,"",450,"Charter",105,113450,"113-45","CSEO",12,NA,3,0.29,142,2016,6,8
"SITKA",2016-06-08,12,12,6,"",460,"Charter",106,113450,"113-45","CSEO",25,25,3,0.35,142,2016,6,8
"SITKA",2016-06-08,12,12,6,"M",415,"Charter",107,113450,"113-45","CSEO",11,11,3,0.24,142,2016,6,8
"SITKA",2016-06-08,12,12,6,"M",415,"Charter",108,113450,"113-45","CSEO",11,NA,3,0.22,142,2016,6,8
"SITKA",2016-06-08,12,12,6,"F",490,"Charter",109,113450,"113-45","CSEO",14,13,2,0.32,142,2016,6,8
"SITKA",2016-06-08,12,12,6,"M",420,"Charter",110,113412,"113-41","CSEO",10,NA,2,0.22,142,2016,6,8
"SITKA",2016-06-08,12,12,6,"M",445,"Charter",111,113450,"113-45","CSEO",19,NA,3,0.34,142,2016,6,8
