"BIOSAMPLEID","SITE","YEAR","DATE","BIWEEK","HARBOR","SEX","OTOLITH","LENGTH","CLASSN","RF_NAME","LOGBOOK_AREA","Stat_Area_label","GF_area","AGE","AGE2","AGECONF","OTOLITH_WT","SPECIES","MONTH","DAY"
10549,"SITKA",2017,2017-05-17,10,5,"F",170001,500,"Charter","black",113450,"113-45","CSEO",20,20,NA,0.406,142,5,17
10550,"SITKA",2017,2017-05-17,10,5,"F",170002,410,"Charter","black",113450,"113-45","CSEO",11,NA,NA,0.268,142,5,17
10551,"SITKA",2017,2017-05-17,10,5,"F",170003,450,"Charter","black",113450,"113-45","CSEO",21,NA,NA,0.396,142,5,17
10552,"SITKA",2017,2017-05-17,10,5,"F",170004,465,"Charter","black",113450,"113-45","CSEO",18,NA,NA,0.43,142,5,17
10553,"SITKA",2017,2017-05-17,10,5,"M",170005,450,"Charter","black",113450,"113-45","CSEO",19,NA,NA,0.358,142,5,17
10795,"SITKA",2017,2017-05-24,11,6,"M",170006,480,"Charter","black",113416,"113-41","CSEO",25,26,NA,0.384,142,5,24
10797,"SITKA",2017,2017-05-24,11,6,"F",170008,525,"Charter","black",113416,"113-41","CSEO",16,16,NA,0.453,142,5,24
10798,"SITKA",2017,2017-05-24,11,6,"M",170009,425,"Charter","black",113416,"113-41","CSEO",11,11,NA,0.267,142,5,24
10799,"SITKA",2017,2017-05-24,11,6,"M",170010,450,"Charter","black",113416,"113-41","CSEO",19,NA,NA,0.325,142,5,24
10800,"SITKA",2017,2017-05-24,11,6,"M",170011,430,"Charter","black",113416,"113-41","CSEO",13,NA,NA,0.311,142,5,24
11826,"SITKA",2017,2017-06-01,11,5,"M",170013,340,"Charter","black",113450,"113-45","CSEO",5,NA,NA,0.176,142,6,1
11827,"SITKA",2017,2017-06-01,11,5,"F",170014,475,"Charter","black",113450,"113-45","CSEO",11,NA,NA,0.346,142,6,1
11828,"SITKA",2017,2017-06-01,11,5,"F",170015,425,"Charter","black",113450,"113-45","CSEO",10,NA,NA,0.299,142,6,1
12228,"SITKA",2017,2017-06-03,11,8,"F",170016,440,"Charter","black",113450,"113-45","CSEO",11,NA,NA,0.348,142,6,3
12229,"SITKA",2017,2017-06-03,11,8,"M",170017,450,"Charter","black",113450,"113-45","CSEO",13,NA,NA,0.307,142,6,3
15680,"SITKA",2017,2017-06-03,11,8,"M",170018,370,"Private","black",113417,"113-41","CSEO",12,NA,NA,0.257,142,6,3
15681,"SITKA",2017,2017-06-03,11,8,"M",170019,410,"Private","black",113417,"113-41","CSEO",13,NA,NA,0.303,142,6,3
15682,"SITKA",2017,2017-06-03,11,8,"",170020,450,"Private","black",113417,"113-41","CSEO",15,NA,NA,0.371,142,6,3
15683,"SITKA",2017,2017-06-03,11,8,"M",170021,430,"Private","black",113417,"113-41","CSEO",22,NA,NA,0.386,142,6,3
15684,"SITKA",2017,2017-06-03,11,8,"F",170022,420,"Private","black",113450,"113-45","CSEO",12,12,NA,0.338,142,6,3
15685,"SITKA",2017,2017-06-03,11,8,"M",170023,420,"Private","black",113450,"113-45","CSEO",10,10,NA,0.279,142,6,3
15686,"SITKA",2017,2017-06-03,11,8,"F",170024,430,"Private","black",113450,"113-45","CSEO",11,NA,NA,0.25,142,6,3
15687,"SITKA",2017,2017-06-03,11,8,"M",170025,450,"Private","black",113450,"113-45","CSEO",26,26,NA,0.48,142,6,3
15688,"SITKA",2017,2017-06-03,11,8,"F",170026,425,"Private","black",113450,"113-45","CSEO",11,NA,NA,0.303,142,6,3
15689,"SITKA",2017,2017-06-04,11,1,"F",170027,535,"Charter","black",113450,"113-45","CSEO",16,NA,NA,0.412,142,6,4
13726,"SITKA",2017,2017-06-07,12,6,"M",170030,420,"Charter","black",113417,"113-41","CSEO",12,NA,NA,0.293,142,6,7
13727,"SITKA",2017,2017-06-07,12,6,"M",170031,430,"Charter","black",113311,"113-31","CSEO",34,NA,NA,0.448,142,6,7
13728,"SITKA",2017,2017-06-07,12,6,"F",170032,435,"Charter","black",113311,"113-31","CSEO",18,NA,NA,0.445,142,6,7
13729,"SITKA",2017,2017-06-07,12,6,"F",170033,335,"Charter","black",113311,"113-31","CSEO",7,NA,NA,0.181,142,6,7
13730,"SITKA",2017,2017-06-07,12,6,"M",170034,420,"Charter","black",113311,"113-31","CSEO",18,NA,NA,0.386,142,6,7
13731,"SITKA",2017,2017-06-07,12,6,"M",170035,410,"Charter","black",113311,"113-31","CSEO",28,30,NA,0.416,142,6,7
13732,"SITKA",2017,2017-06-07,12,6,"M",170036,415,"Charter","black",113311,"113-31","CSEO",14,NA,NA,0.31,142,6,7
14747,"SITKA",2017,2017-06-08,12,6,"F",170037,520,"Charter","black",113417,"113-41","CSEO",13,NA,NA,0.39,142,6,8
14748,"SITKA",2017,2017-06-08,12,6,"M",170038,480,"Charter","black",113417,"113-41","CSEO",21,NA,NA,0.456,142,6,8
14749,"SITKA",2017,2017-06-08,12,6,"M",170039,420,"Charter","black",113417,"113-41","CSEO",11,NA,NA,0.285,142,6,8
14750,"SITKA",2017,2017-06-08,12,6,"M",170040,400,"Charter","black",113417,"113-41","CSEO",14,NA,NA,0.312,142,6,8
14751,"SITKA",2017,2017-06-08,12,6,"M",170041,430,"Charter","black",113417,"113-41","CSEO",10,NA,NA,0.26,142,6,8
14752,"SITKA",2017,2017-06-08,12,6,"F",170042,480,"Charter","black",113417,"113-41","CSEO",16,NA,NA,0.393,142,6,8
14500,"SITKA",2017,2017-06-09,12,6,"F",170043,450,"Charter","black",113417,"113-41","CSEO",12,NA,NA,0.33,142,6,9
14501,"SITKA",2017,2017-06-09,12,6,"F",170044,430,"Charter","black",113417,"113-41","CSEO",12,12,NA,0.32,142,6,9
14502,"SITKA",2017,2017-06-09,12,6,"F",170045,390,"Charter","black",113417,"113-41","CSEO",12,12,NA,0.296,142,6,9
14528,"SITKA",2017,2017-06-09,12,6,"M",170046,450,"Charter","black",113417,"113-41","CSEO",18,19,NA,0.343,142,6,9
14529,"SITKA",2017,2017-06-09,12,6,"M",170047,400,"Charter","black",113417,"113-41","CSEO",9,NA,NA,0.256,142,6,9
14530,"SITKA",2017,2017-06-09,12,6,"M",170048,440,"Charter","black",113417,"113-41","CSEO",8,NA,NA,0.269,142,6,9
14531,"SITKA",2017,2017-06-09,12,6,"M",170049,450,"Charter","black",113417,"113-41","CSEO",16,NA,NA,0.391,142,6,9
14532,"SITKA",2017,2017-06-09,12,6,"F",170050,470,"Charter","black",113417,"113-41","CSEO",11,NA,NA,0.362,142,6,9
14533,"SITKA",2017,2017-06-09,12,6,"F",170051,470,"Charter","black",113417,"113-41","CSEO",24,25,NA,0.573,142,6,9
14536,"SITKA",2017,2017-06-09,12,6,"F",170052,380,"Charter","black",113311,"113-31","CSEO",9,NA,NA,0.255,142,6,9
14537,"SITKA",2017,2017-06-09,12,6,"F",170053,420,"Charter","black",113311,"113-31","CSEO",10,NA,NA,0.278,142,6,9
14538,"SITKA",2017,2017-06-09,12,6,"F",170054,410,"Charter","black",113311,"113-31","CSEO",8,NA,NA,0.227,142,6,9
14539,"SITKA",2017,2017-06-09,12,6,"M",170055,360,"Charter","black",113311,"113-31","CSEO",8,8,NA,0.217,142,6,9
14540,"SITKA",2017,2017-06-09,12,6,"F",170056,540,"Charter","black",113311,"113-31","CSEO",11,NA,NA,0.351,142,6,9
14541,"SITKA",2017,2017-06-09,12,6,"F",170057,390,"Charter","black",113311,"113-31","CSEO",11,NA,NA,0.268,142,6,9
14543,"SITKA",2017,2017-06-09,12,6,"M",170058,440,"Charter","black",113417,"113-41","CSEO",25,NA,NA,0.4,142,6,9
14547,"SITKA",2017,2017-06-09,12,6,"F",170059,410,"Charter","black",113417,"113-41","CSEO",14,NA,NA,0.376,142,6,9
14544,"SITKA",2017,2017-06-09,12,6,"F",170060,420,"Charter","black",113417,"113-41","CSEO",13,NA,NA,0.291,142,6,9
14545,"SITKA",2017,2017-06-09,12,6,"M",170061,420,"Charter","black",113417,"113-41","CSEO",14,6,NA,0.307,142,6,9
14546,"SITKA",2017,2017-06-09,12,6,"M",170062,410,"Charter","black",113417,"113-41","CSEO",14,NA,NA,0.295,142,6,9
14548,"SITKA",2017,2017-06-09,12,6,"F",170063,470,"Charter","black",113417,"113-41","CSEO",14,NA,NA,0.415,142,6,9
14469,"SITKA",2017,2017-06-10,12,5,"F",170064,410,"Charter","black",365701,"365-70","CSEO",11,NA,NA,0.274,142,6,10
14470,"SITKA",2017,2017-06-10,12,5,"M",170065,460,"Charter","black",365701,"365-70","CSEO",22,NA,NA,0.408,142,6,10
14471,"SITKA",2017,2017-06-10,12,5,"M",170066,410,"Charter","black",365701,"365-70","CSEO",14,NA,NA,0.346,142,6,10
14472,"SITKA",2017,2017-06-10,12,5,"M",170067,390,"Charter","black",365701,"365-70","CSEO",9,14,NA,0.253,142,6,10
14473,"SITKA",2017,2017-06-10,12,5,"M",170068,380,"Charter","black",365701,"365-70","CSEO",6,NA,NA,0.233,142,6,10
14474,"SITKA",2017,2017-06-10,12,5,"M",170069,420,"Charter","black",365701,"365-70","CSEO",16,NA,NA,0.307,142,6,10
14480,"SITKA",2017,2017-06-10,12,5,"F",170070,450,"Private","black",113416,"113-41","CSEO",15,NA,NA,0.366,142,6,10
14481,"SITKA",2017,2017-06-10,12,5,"M",170071,450,"Private","black",113416,"113-41","CSEO",18,NA,NA,0.328,142,6,10
14482,"SITKA",2017,2017-06-10,12,5,"M",170072,440,"Private","black",113416,"113-41","CSEO",13,NA,NA,0.332,142,6,10
14483,"SITKA",2017,2017-06-10,12,5,"M",170073,430,"Private","black",113416,"113-41","CSEO",23,NA,NA,0.381,142,6,10
14484,"SITKA",2017,2017-06-10,12,5,"F",170074,400,"Private","black",113416,"113-41","CSEO",7,NA,NA,0.275,142,6,10
15447,"SITKA",2017,2017-06-14,12,8,"M",170076,370,"Charter","black",113311,"113-31","CSEO",11,11,NA,0.263,142,6,14
15448,"SITKA",2017,2017-06-14,12,8,"M",170077,420,"Charter","black",113311,"113-31","CSEO",14,NA,NA,0.326,142,6,14
15449,"SITKA",2017,2017-06-14,12,8,"F",170078,380,"Charter","black",113311,"113-31","CSEO",10,NA,NA,0.244,142,6,14
15450,"SITKA",2017,2017-06-14,12,8,"M",170079,400,"Charter","black",113311,"113-31","CSEO",22,NA,NA,0.374,142,6,14
15451,"SITKA",2017,2017-06-14,12,8,"M",170080,410,"Charter","black",113311,"113-31","CSEO",13,NA,NA,0.343,142,6,14
15452,"SITKA",2017,2017-06-14,12,8,"M",170081,390,"Charter","black",113311,"113-31","CSEO",12,NA,NA,0.289,142,6,14
15464,"SITKA",2017,2017-06-14,12,8,"M",170082,440,"Charter","black",113417,"113-41","CSEO",11,NA,NA,0.321,142,6,14
15465,"SITKA",2017,2017-06-14,12,8,"M",170083,370,"Charter","black",113417,"113-41","CSEO",11,NA,NA,0.285,142,6,14
15471,"SITKA",2017,2017-06-14,12,8,"F",170084,430,"Private","black",113450,"113-45","CSEO",16,NA,NA,0.378,142,6,14
16172,"SITKA",2017,2017-06-16,12,3,"F",170085,370,"Charter","black",355631,"355-63","CSEO",11,NA,NA,0.28,142,6,16
16173,"SITKA",2017,2017-06-16,12,3,"F",170086,455,"Charter","black",355631,"355-63","CSEO",12,NA,NA,0.366,142,6,16
17781,"SITKA",2017,2017-06-17,12,1,"F",170087,430,"Charter","black",113417,"113-41","CSEO",11,11,NA,0.318,142,6,17
16696,"SITKA",2017,2017-06-18,12,5,"F",170088,450,"Private","black",113611,"113-61","CSEO",14,NA,NA,0.351,142,6,18
16706,"SITKA",2017,2017-06-18,12,5,"M",170089,400,"Charter","black",365701,"365-70","CSEO",11,NA,NA,0.253,142,6,18
16707,"SITKA",2017,2017-06-18,12,5,"F",170090,420,"Charter","black",365701,"365-70","CSEO",10,NA,NA,0.306,142,6,18
16708,"SITKA",2017,2017-06-18,12,5,"F",170091,430,"Charter","black",365701,"365-70","CSEO",10,NA,NA,0.297,142,6,18
16710,"SITKA",2017,2017-06-18,12,5,"M",170093,390,"Charter","black",365701,"365-70","CSEO",12,NA,NA,0.283,142,6,18
16711,"SITKA",2017,2017-06-18,12,5,"M",170094,340,"Charter","black",365701,"365-70","CSEO",8,NA,NA,0.24,142,6,18
16717,"SITKA",2017,2017-06-18,12,5,"F",170095,400,"Charter","black",365701,"365-70","CSEO",12,12,NA,0.28,142,6,18
16718,"SITKA",2017,2017-06-18,12,5,"",170096,410,"Charter","black",365701,"365-70","CSEO",10,NA,NA,0.32,142,6,18
16719,"SITKA",2017,2017-06-18,12,5,"F",170097,390,"Charter","black",365701,"365-70","CSEO",10,NA,NA,0.282,142,6,18
16720,"SITKA",2017,2017-06-18,12,5,"M",170098,420,"Charter","black",365701,"365-70","CSEO",16,NA,NA,0.347,142,6,18
16721,"SITKA",2017,2017-06-18,12,5,"F",170099,410,"Charter","black",365701,"365-70","CSEO",12,NA,NA,0.352,142,6,18
16722,"SITKA",2017,2017-06-18,12,5,"M",170100,470,"Charter","black",365701,"365-70","CSEO",11,11,NA,0.26,142,6,18
17722,"SITKA",2017,2017-06-21,13,3,"M",170101,430,"Charter","black",113450,"113-45","CSEO",14,NA,NA,0.314,142,6,21
